(22, 99.0, 0.04330968653317541)
(23, 88.0, 0.7293595485668629)
(24, 99.0, 0.11969935371773317)
(25, 100.0, 0.01887305443873629)
(1001, 100.0, 5.637362355628284e-06)
(2001, 100.0, 2.5463013139415124e-06)
(3001, 100.0, 1.5890562760034753e-06)
(4001, 100.0, 1.1527519586707059e-06)
(5001, 100.0, 8.916843631823213e-07)
(6001, 100.0, 7.164471043097365e-07)
(7001, 100.0, 5.972380319008153e-07)
(8001, 100.0, 5.185600254264955e-07)
(9001, 100.0, 4.529950000176086e-07)
(10001, 100.0, 4.041192646297986e-07)
(11001, 100.0, 3.600118722602019e-07)
(12001, 100.0, 3.302095808521699e-07)
(13001, 100.0, 3.027914695508116e-07)
(14001, 100.0, 2.765654434000453e-07)
(15001, 100.0, 2.515315094342441e-07)
(16001, 100.0, 2.3484222047898129e-07)
(17001, 100.0, 2.1815293379745526e-07)
(18001, 100.0, 2.0503991997600225e-07)
(19001, 100.0, 1.9550318157257606e-07)
(20001, 100.0, 1.8835062888911126e-07)
(21001, 100.0, 1.74045518690491e-07)
(22001, 100.0, 1.633166903758365e-07)
(23001, 100.0, 1.549720447968639e-07)
(24000, 100.0, 1.4901158273517013e-07)
(1, 42.0, 2.0791216897964477)
(2, 34.0, 1.7800749492645265)
(3, 38.0, 1.6835163712501526)
(4, 40.0, 2.07286594375968)
(5, 45.0, 1.859432545900345)
(6, 46.0, 1.4977537775039673)
(7, 42.0, 1.7100754809379577)
(8, 68.0, 0.7543259054422379)
(9, 69.0, 0.6159686996042728)
(10, 83.0, 0.5604000136256218)
(11, 68.0, 0.919623495452106)
(12, 76.0, 0.6442438474809751)
(13, 87.0, 0.38333756315521894)
(14, 77.0, 0.7778677046298981)
(15, 75.0, 0.8988355305790902)
(16, 78.0, 0.6086603386141359)
(17, 86.0, 0.3662556420546025)
(18, 75.0, 0.619331075490336)
(19, 94.0, 0.1853784047625959)
(20, 98.0, 0.0781099433125928)
(21, 77.0, 0.8334007197618485)
(22, 88.0, 0.5415626803506166)
(23, 82.0, 0.4250383549928665)
(24, 97.0, 0.11465230200439691)
(25, 94.0, 0.1615055772289634)
(1001, 100.0, 5.533649100470939e-06)
(2001, 100.0, 2.495041127303921e-06)
(3001, 100.0, 1.571174750552018e-06)
(4001, 100.0, 1.1336784381654753e-06)
(5001, 100.0, 8.761871328033522e-07)
(6001, 100.0, 7.104866079998828e-07)
(7001, 100.0, 5.936617421298251e-07)
(8001, 100.0, 5.114074576795247e-07)
(9001, 100.0, 4.518029082589692e-07)
(10001, 100.0, 3.9696670782518596e-07)
(11001, 100.0, 3.612039550660029e-07)
(12001, 100.0, 3.230570236212316e-07)
(13001, 100.0, 2.9087054272736166e-07)
(14001, 100.0, 2.706049787093434e-07)
(15001, 100.0, 2.491473250643139e-07)
(16001, 100.0, 2.2768966296382586e-07)
(17001, 100.0, 2.1457665077662114e-07)
(18001, 100.0, 2.0027154292279193e-07)
(19001, 100.0, 1.871585303803158e-07)
(20001, 100.0, 1.752376073227424e-07)
(21001, 100.0, 1.6689296280958388e-07)
(22001, 100.0, 1.5735622511670043e-07)
(23001, 100.0, 1.513957638366037e-07)
(24000, 100.0, 1.4662739140192115e-07)
